optimization,cache,first,size,time(us)
opt,nocache,S,4,28.2
opt,nocache,S,64,28.4
opt,nocache,S,256,30.2
opt,nocache,R,4,28.5
opt,nocache,R,64,28.4
opt,nocache,R,256,30.1
opt,icache,S,4,18.0
opt,icache,S,64,18.2
opt,icache,S,256,19.6
opt,icache,R,4,18.4
opt,icache,R,64,18.6
opt,icache,R,256,19.9
opt,dcache,S,4,24.0
opt,dcache,S,64,24.1
opt,dcache,S,256,25.6
opt,dcache,R,4,24.3
opt,dcache,R,64,24.0
opt,dcache,R,256,25.6
opt,bcache,S,4,2.5
opt,bcache,S,64,2.5
opt,bcache,S,256,2.6
opt,bcache,R,4,2.5
opt,bcache,R,64,2.5
opt,bcache,R,256,2.6
noopt,nocache,S,4,126.4
noopt,nocache,S,64,127.2
noopt,nocache,S,256,129.3
noopt,nocache,R,4,126.4
noopt,nocache,R,64,127.2
noopt,nocache,R,256,129.5
noopt,icache,S,4,117.8
noopt,icache,S,64,118.1
noopt,icache,S,256,120.3
noopt,icache,R,4,117.8
noopt,icache,R,64,118.0
noopt,icache,R,256,120.2
noopt,dcache,S,4,105.0
noopt,dcache,S,64,105.1
noopt,dcache,S,256,106.5
noopt,dcache,R,4,105.1
noopt,dcache,R,64,105.3
noopt,dcache,R,256,106.7
noopt,bcache,S,4,6.0
noopt,bcache,S,64,6.0
noopt,bcache,S,256,6.1
noopt,bcache,R,4,6.0
noopt,bcache,R,64,6.0
noopt,bcache,R,256,6.1
